Device_ID,Device_type,Device,Site,Ambient,DevicexAmbient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Species,Live_mass,Body_length,Body_width
ID1_0064,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:29:40.601,2023-08-25 14:32:39.696,00:02:59.095000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0065,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:32:45.324,2023-08-25 14:33:06.819,00:00:21.495000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0066,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:33:20.903,2023-08-25 14:33:39.465,00:00:18.562000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0067,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:35:58.642,2023-08-25 14:37:07.558,00:01:08.916000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0068,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:37:10.354,2023-08-25 14:37:17.570,00:00:07.216000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0069,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:37:37.213,2023-08-25 14:40:47.730,00:03:10.517000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0071,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 17:30:26.939,2023-08-25 17:31:41.168,00:01:14.229000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0072,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 18:04:12.741,2023-08-25 18:05:11.244,00:00:58.503000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0073,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 18:05:22.484,2023-08-25 18:06:34.900,00:01:12.416000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0074,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 19:14:21.815,2023-08-25 19:14:37.458,00:00:15.643000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0075,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 08:22:36.881,2023-08-26 08:23:16.425,00:00:39.544000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0076,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 08:26:37.347,2023-08-26 08:26:40.160,00:00:02.813000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0079,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 08:30:05.465,2023-08-26 08:30:08.354,00:00:02.889000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0080,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 09:08:49.242,2023-08-26 09:08:56.391,00:00:07.149000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0081,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 09:10:49.037,2023-08-26 09:11:03.213,00:00:14.176000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0082,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 12:07:23.118,2023-08-26 12:07:46.264,00:00:23.146000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0083,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 12:07:50.535,2023-08-26 12:07:54.845,00:00:04.310000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0084,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 12:08:01.987,2023-08-26 12:08:07.751,00:00:05.764000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0085,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 12:08:10.572,2023-08-26 12:08:27.701,00:00:17.129000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
